id	name	parentid	initial	initials	pinyin	suffix	order
1	北京	0	b	bj	beijing	市	1
2	天津	0	t	tj	tianjin	市	2
3	上海	0	s	sh	shanghai	市	3
4	重庆	0	z	zq	zhongqing	市	4
5	河北	0	h	hb	hebei	省	5
6	山西	0	s	sx	shanxi	省	6
7	内蒙古	0	n	nmg	neimenggu	省	7
8	辽宁	0	l	ln	liaoning	自治区	8
9	吉林	0	j	jl	jilin	省	9
10	黑龙江	0	h	hlj	heilongjiang	省	10
11	江苏	0	j	js	jiangsu	省	11
12	浙江	0	z	zj	zhejiang	省	12
13	安徽	0	a	ah	anhui	省	13
14	福建	0	f	fj	fujian	省	14
15	江西	0	j	jx	jiangxi	省	15
16	山东	0	s	sd	shandong	省	16
17	河南	0	h	hn	henan	省	17
18	湖北	0	h	hb	hubei	省	18
19	湖南	0	h	hn	hunan	省	19
20	广东	0	g	gd	guangdong	省	20
21	广西	0	g	gx	guangxi	自治区	21
22	海南	0	h	hn	hainan	省	22
23	四川	0	s	sc	sichuan	省	23
24	贵州	0	g	gz	guizhou	省	24
25	云南	0	y	yn	yunnan	省	25
26	西藏	0	x	xz	xizang	自治区	26
27	陕西	0	s	sx	shanxi	省	27
28	甘肃	0	g	gs	gansu	省	28
29	青海	0	q	qh	qinghai	省	29
30	宁夏	0	n	nx	ningxia	自治区	30
31	新疆	0	x	xj	xinjiang	自治区	31
32	台湾	0	t	tw	taiwan	省	32
33	香港	0	x	xg	xianggang	特别行政区	33
34	澳门	0	a	am	aomen	特别行政区	34
35	海外	0	h	hw	haiwai		35
36	东城	1	d	dc	dongcheng	区	1
37	西城	1	x	xc	xicheng	区	2
38	崇文	1	c	cw	chongwen	区	3
39	宣武	1	x	xw	xuanwu	区	4
40	朝阳	1	c	cy	chaoyang	区	5
41	丰台	1	f	ft	fengtai	区	6
42	石景山	1	s	sjs	shijingshan	区	7
43	海淀	1	h	hd	haidian	区	8
44	门头沟	1	m	mtg	mentougou	区	9
45	房山	1	f	fs	fangshan	区	10
46	通州	1	t	tz	tongzhou	区	11
47	顺义	1	s	sy	shunyi	区	12
48	昌平	1	c	cp	changping	区	13
49	大兴	1	d	dx	daxing	区	14
50	怀柔	1	h	hr	huairou	区	15
51	平谷	1	p	pg	pinggu	区	16
52	密云	1	m	my	miyun	县	17
53	延庆	1	y	yq	yanqing	县	18
54	和平	2	h	hp	heping	区	1
55	河东	2	h	hd	hedong	区	2
56	河西	2	h	hx	hexi	区	3
57	南开	2	n	nk	nankai	区	4
58	河北	2	h	hb	hebei	区	5
59	红桥	2	h	hq	hongqiao	区	6
60	东丽	2	d	dl	dongli	区	7
